location,date,total_cases,total_deaths,DeathPercentage
Canada,7/22/2020,113790,8958,7.87239652
United States,7/22/2020,3974630,144171,3.62728103
Canada,7/21/2020,113473,8954,7.890863906
United States,7/21/2020,3904066,142947,3.661490354
Canada,7/20/2020,112938,8947,7.922045724
United States,7/20/2020,3839546,141856,3.694603477
Canada,7/19/2020,112168,8943,7.972862135
United States,7/19/2020,3777456,141293,3.74042742
Canada,7/18/2020,111875,8939,7.990167598
United States,7/18/2020,3716980,140813,3.788371205
Canada,7/17/2020,111559,8936,8.010111242
United States,7/17/2020,3654445,139956,3.829747061
Canada,7/16/2020,111144,8926,8.031022817
United States,7/16/2020,3582184,139032,3.881207665
Canada,7/15/2020,110693,8914,8.052903074
United States,7/15/2020,3506364,138076,3.937868402
Canada,7/14/2020,110350,8900,8.065246942
United States,7/14/2020,3438244,137101,3.987529681
Canada,7/13/2020,109984,8895,8.087540006
United States,7/13/2020,3370208,136173,4.040492456
Canada,7/12/2020,109348,8887,8.127263416
United States,7/12/2020,3311312,135728,4.098919099
Canada,7/11/2020,109150,8882,8.137425561
United States,7/11/2020,3252874,135256,4.158046085
Canada,7/10/2020,108984,8879,8.147067459
United States,7/10/2020,3192841,134528,4.213426224
Canada,7/9/2020,108656,8865,8.158776322
United States,7/9/2020,3124786,133711,4.279045029
Canada,7/8/2020,108334,8855,8.173795854
United States,7/8/2020,3062290,132691,4.333064471
Canada,7/7/2020,108023,8843,8.186219601
United States,7/7/2020,3002171,131866,4.392354733
Canada,7/6/2020,107815,8836,8.195520104
United States,7/6/2020,2941517,130704,4.443421541
Canada,7/5/2020,107394,8823,8.215542768
United States,7/5/2020,2898432,130328,4.496500177
Canada,7/4/2020,107185,8821,8.229696319
United States,7/4/2020,2847664,130002,4.565215559
Canada,7/3/2020,106962,8813,8.239374731
United States,7/3/2020,2801983,129687,4.628400672
Canada,7/2/2020,106643,8806,8.257457123
United States,7/2/2020,2750622,129017,4.690466375
Canada,7/1/2020,106288,8790,8.269983441
United States,7/1/2020,2693993,128304,4.762595894
Canada,6/30/2020,106097,8780,8.275446054
United States,6/30/2020,2642174,127600,4.829356431
Canada,6/29/2020,105830,8768,8.284985354
United States,6/29/2020,2595744,127047,4.89443489
Canada,6/28/2020,105193,8749,8.317093343
United States,6/28/2020,2554461,126662,4.958462862
Canada,6/27/2020,104878,8739,8.332538759
United States,6/27/2020,2513731,126344,5.02615435
Canada,6/26/2020,104629,8730,8.343767024
United States,6/26/2020,2472385,125841,5.089862623
Canada,6/25/2020,104463,8723,8.350324995
United States,6/25/2020,2426391,125212,5.160421383
Canada,6/24/2020,104087,8700,8.358392499
United States,6/24/2020,2386074,124675,5.22511037
Canada,6/23/2020,103767,8670,8.355257452
United States,6/23/2020,2350198,123938,5.273513125
Canada,6/22/2020,103418,8646,8.360246766
United States,6/22/2020,2313123,123190,5.325700363
Canada,6/21/2020,103078,8626,8.368420031
United States,6/21/2020,2280971,122783,5.382926832
Canada,6/20/2020,102762,8609,8.377610401
United States,6/20/2020,2255823,122466,5.428883383
Canada,6/19/2020,102314,8580,8.385949137
United States,6/19/2020,2223553,121907,5.482531786
Canada,6/18/2020,101877,8555,8.397381156
United States,6/18/2020,2191991,121278,5.532778191
Canada,6/17/2020,101491,8542,8.416509838
United States,6/17/2020,2163465,120589,5.573882637
Canada,6/16/2020,101087,8521,8.429372719
United States,6/16/2020,2136401,119850,5.609901886
Canada,6/15/2020,100763,8497,8.432658813
United States,6/15/2020,2112731,119036,5.634224139
Canada,6/14/2020,100404,8489,8.454842437
United States,6/14/2020,2092912,118640,5.668656876
Canada,6/13/2020,100043,8470,8.466359465
United States,6/13/2020,2073964,118295,5.703811638
Canada,6/12/2020,99595,8442,8.476329133
United States,6/12/2020,2048756,117560,5.738116203
Canada,6/11/2020,99159,8413,8.484353412
United States,6/11/2020,2023890,116731,5.767655357
Canada,6/10/2020,98720,8382,8.490680713
United States,6/10/2020,2000757,115901,5.792857403
Canada,6/9/2020,98241,8347,8.496452601
United States,6/9/2020,1979647,115025,5.810379325
Canada,6/8/2020,97779,8313,8.501825545
United States,6/8/2020,1961263,114112,5.81829158
Canada,6/7/2020,97178,8269,8.50912758
United States,6/7/2020,1943626,113605,5.845003102
Canada,6/6/2020,96475,8228,8.528634361
United States,6/6/2020,1925710,113146,5.875547201
Canada,6/5/2020,95947,8166,8.510948753
United States,6/5/2020,1904550,112504,5.907117167
Canada,6/4/2020,95269,8126,8.529532167
United States,6/4/2020,1879150,111613,5.939547136
Canada,6/3/2020,94641,8062,8.518506778
United States,6/3/2020,1857511,110600,5.954204309
Canada,6/2/2020,93960,8008,8.522775649
United States,6/2/2020,1837656,109590,5.963575337
Canada,6/1/2020,93288,7952,8.524140297
United States,6/1/2020,1816154,108609,5.980164678
Canada,5/31/2020,92479,7906,8.548967874
United States,5/31/2020,1798718,107833,5.994991989
Canada,5/30/2020,91681,7857,8.569932701
United States,5/30/2020,1779731,107218,6.024393574
Canada,5/29/2020,90909,7797,8.576708577
United States,5/29/2020,1756098,106264,6.051142932
Canada,5/28/2020,89976,7717,8.576731573
United States,5/28/2020,1731625,105131,6.071233668
Canada,5/27/2020,88989,7606,8.547123802
United States,5/27/2020,1709303,104030,6.086106442
Canada,5/26/2020,88090,7512,8.527642184
United States,5/26/2020,1690754,102568,6.066405876
Canada,5/25/2020,87119,7420,8.517085825
United States,5/25/2020,1671104,101891,6.097226744
Canada,5/24/2020,86106,7326,8.508117901
United States,5/24/2020,1652431,101299,6.130301356
Canada,5/23/2020,85151,7238,8.500193773
United States,5/23/2020,1632364,100660,6.166516782
Canada,5/22/2020,83947,7144,8.510131392
United States,5/22/2020,1611253,99571,6.179724724
Canada,5/21/2020,82742,7046,8.515626888
United States,5/21/2020,1587596,98354,6.195152923
Canada,5/20/2020,81575,6950,8.519767086
United States,5/20/2020,1561830,97169,6.221483772
Canada,5/19/2020,80493,6828,8.482725206
United States,5/19/2020,1539133,95668,6.215707155
Canada,5/18/2020,79411,6753,8.503859667
United States,5/18/2020,1518126,94212,6.205809004
Canada,5/17/2020,78332,6661,8.503548997
United States,5/17/2020,1495736,92985,6.216671926
Canada,5/16/2020,77206,6571,8.510996555
United States,5/16/2020,1477373,92164,6.238370405
Canada,5/15/2020,75959,6452,8.494056004
United States,5/15/2020,1453214,90966,6.25964242
Canada,5/14/2020,74781,6331,8.466054212
United States,5/14/2020,1428467,89298,6.251316971
Canada,5/13/2020,73568,6210,8.441170074
United States,5/13/2020,1401649,87502,6.242789743
Canada,5/12/2020,72419,6107,8.432869827
United States,5/12/2020,1381241,85775,6.209995214
Canada,5/11/2020,71264,5956,8.35765604
United States,5/11/2020,1358293,84176,6.19719015
Canada,5/10/2020,70091,5822,8.306344609
United States,5/10/2020,1339022,83134,6.208561174
Canada,5/9/2020,68918,5704,8.27650251
United States,5/9/2020,1320155,82156,6.223208638
Canada,5/8/2020,67674,5540,8.186304932
